STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT05,WT06,WT08
USW00024131,"BOISE AIR TERMINAL, ID US",1/1/2018,2.68,,0,0,2,26,35,19,140,130,10.1,12.1,1,,,,,1
USW00024131,"BOISE AIR TERMINAL, ID US",1/2/2018,8.05,,0,0,1.2,26,34,18,140,140,19.9,25.1,1,,,,,1
USW00024131,"BOISE AIR TERMINAL, ID US",1/3/2018,2.91,,0,0,1.2,28,35,20,160,150,14.1,19,1,,,,,1
USW00024131,"BOISE AIR TERMINAL, ID US",1/4/2018,2.01,,0,0,1.2,26,36,19,230,280,8.1,14.1,1,,,,,1
USW00024131,"BOISE AIR TERMINAL, ID US",1/5/2018,2.46,,0.01,0,1.2,31,41,26,310,300,15,19,1,,,,,1
USW00024131,"BOISE AIR TERMINAL, ID US",1/6/2018,4.03,,0.08,0,1.2,34,39,31,100,100,17,19.9,1,,,,,1
USW00024131,"BOISE AIR TERMINAL, ID US",1/7/2018,4.25,,0,0,1.2,34,45,26,310,240,12.1,15,1,1,,,,1
USW00024131,"BOISE AIR TERMINAL, ID US",1/8/2018,3.58,,0,0,0,34,47,28,100,170,18.1,23,1,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",1/9/2018,8.28,,0.46,0,0,41,47,35,130,130,17,23,1,,,,,1
USW00024131,"BOISE AIR TERMINAL, ID US",1/10/2018,7.16,,0.01,0,0,40,43,33,330,320,14.1,19,1,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",1/11/2018,10.74,,0.08,0,0,38,47,34,310,310,25.9,38.9,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",1/12/2018,4.92,,0.01,0,0,44,52,36,120,350,10.1,14.1,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",1/13/2018,4.03,,0,0,0,40,50,33,140,140,10.1,12.1,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",1/14/2018,5.59,,0,0,0,39,50,33,140,140,16.1,21,1,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",1/15/2018,6.04,,0,0,0,38,47,30,160,150,15,18.1,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",1/16/2018,6.49,,0.06,0,0,38,44,32,120,120,19.9,23.9,1,1,,,,1
USW00024131,"BOISE AIR TERMINAL, ID US",1/17/2018,8.28,,0,0,0,37,50,29,170,170,18.1,27.1,1,1,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",1/18/2018,13.87,,0.24,0,0,47,58,39,310,150,25.1,32,1,,,,,
